chain_id,chain_name,chain_color,match,name,category,kcal,protein,carbs,fat,sodium,fiber,sugar
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,Double-Double w/ Onion,Burgers,610,34,42,34,1670,2,9
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,Double-Double w/ Mustard & Ketchup,Burgers,550,34,41,27,1600,2,10
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,Protein Style Double-Double,Burgers,460,30,12,32,1390,2,7
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,Cheeseburger w/ Onion,Burgers,430,20,40,21,1080,2,9
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,Cheeseburger w/ Mustard & Ketchup,Burgers,380,20,39,15,1020,2,9
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,Protein Style Cheeseburger,Burgers,280,16,11,19,800,2,7
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,Hamburger w/ Onion,Burgers,360,16,38,16,670,2,8
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,Hamburger w/ Mustard & Ketchup,Burgers,300,16,38,10,610,2,9
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,Protein Style Hamburger,Burgers,210,12,9,14,390,2,6
innout,In-N-Out Burger,#E21833,in-n-out|in n out|in-n-out burger,French Fries,Sides,370,7,54,18,245,2,0
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Spicy Chicken Biscuit,Breakfast,450,19,44,22,1570,3,5
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Chick-fil-A Chick-n-Minis (4 ct),Breakfast,360,20,41,13,1060,2,8
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Egg White Grill,Breakfast,300,27,29,8,990,1,2
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Burrito,Breakfast,700,34,51,40,1770,3,2
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Burrito w/ Sausage,Breakfast,720,28,46,47,1450,3,1
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Burrito w/ Grilled Filet,Breakfast,650,36,46,36,1650,3,2
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Burrito w/ Spicy Chicken,Breakfast,740,37,53,42,2020,4,2
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Burrito w/ Bacon,Breakfast,680,30,46,42,1630,3,2
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Burrito w/ No Meat,Breakfast,580,22,47,34,1200,5,1
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Bowl,Breakfast,470,29,19,30,1350,2,2
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Bowl w/ Sausage,Breakfast,480,23,15,37,1020,2,1
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Bowl w/ Grilled Filet,Breakfast,420,31,15,26,1230,2,2
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Bowl w/ Spicy Chicken,Breakfast,500,32,21,32,1590,3,2
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Bowl w/ Bacon,Breakfast,450,23,15,32,1060,2,2
chickfila,Chick-fil-A,#E51636,chick-fil-a|chick fil a|chickfila,Hash Brown Scramble Bowl w/ No Meat,Breakfast,350,17,16,24,770,3,1
