chain_id,chain_name,chain_color,match,name,category,kcal,protein,carbs,fat,sodium,fiber,sugar
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Hamburger,Burgers,250,12,31,9,510,1,6
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Cheeseburger,Burgers,300,15,32,13,720,2,7
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Double Cheeseburger,Burgers,450,25,34,24,1050,2,7
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Quarter Pounder w/ Cheese,Burgers,520,30,42,26,1140,3,10
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Big Mac,Burgers,590,25,46,34,1050,3,9
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,McChicken,Chicken,400,14,39,21,600,2,5
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,McDouble,Burgers,400,22,33,20,920,2,7
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Chicken McNuggets (10 pc),Chicken,420,23,25,25,840,1,0
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Filet-O-Fish,Sandwiches,390,16,39,19,580,2,5
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Egg McMuffin,Breakfast,310,17,30,13,770,2,3
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Medium Fries,Sides,320,4,43,15,260,4,0
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Side Salad,Salads,15,1,3,0,10,1,2
mcdonalds,McDonald's,#DA291C,mcdonald's|mcdonalds|mc donald's,Apple Slices,Sides,15,0,4,0,0,0,3
chipotle,Chipotle Mexican Grill,#A81612,chipotle|chipotle mexican grill,"Chicken Burrito Bowl (rice, beans, salsa)",Bowls,625,45,67,19,1370,14,5
chipotle,Chipotle Mexican Grill,#A81612,chipotle|chipotle mexican grill,"Steak Burrito Bowl (rice, beans, salsa)",Bowls,600,40,66,18,1300,14,5
chipotle,Chipotle Mexican Grill,#A81612,chipotle|chipotle mexican grill,Carnitas Burrito Bowl,Bowls,670,38,65,25,1450,13,5
chipotle,Chipotle Mexican Grill,#A81612,chipotle|chipotle mexican grill,Sofritas Bowl (tofu),Bowls,560,24,70,20,1280,16,6
chipotle,Chipotle Mexican Grill,#A81612,chipotle|chipotle mexican grill,Chicken Salad (no dressing),Salads,300,38,12,12,800,5,4
chipotle,Chipotle Mexican Grill,#A81612,chipotle|chipotle mexican grill,Chicken Burrito (full),Burritos,975,53,102,36,2000,12,6
chipotle,Chipotle Mexican Grill,#A81612,chipotle|chipotle mexican grill,Side of Guacamole,Sides,230,2,8,22,375,6,1
chipotle,Chipotle Mexican Grill,#A81612,chipotle|chipotle mexican grill,Chips,Sides,540,7,73,25,390,7,1
